timestamp,level,snoring
2026-06-03 00:58:21,793,0
2026-06-03 00:58:21,809,0
2026-06-03 00:58:21,643,0
2026-06-03 00:58:21,608,0
2026-06-03 00:58:21,643,0
2026-06-03 00:58:21,617,0
2026-06-03 00:58:21,662,0
2026-06-03 00:58:21,662,0
2026-06-03 00:58:21,732,0
2026-06-03 00:58:21,732,0
2026-06-03 00:58:21,748,0
2026-06-03 00:58:22,707,0
2026-06-03 00:58:22,697,0
2026-06-03 00:58:22,2218,0
2026-06-03 00:58:22,2496,0
2026-06-03 00:58:22,2678,1
2026-06-03 00:58:22,2678,1
2026-06-03 00:58:22,2736,1
2026-06-03 00:58:22,1228,0
2026-06-03 00:58:22,905,0
2026-06-03 00:58:22,691,0
2026-06-03 00:58:22,720,0
2026-06-03 00:58:22,633,0
2026-06-03 00:58:22,614,0
2026-06-03 00:58:23,694,0
2026-06-03 00:58:23,3072,1
2026-06-03 00:58:23,3069,1
2026-06-03 00:58:23,3181,1
2026-06-03 00:58:23,3175,1
2026-06-03 00:58:23,3159,1
2026-06-03 00:58:23,835,0
2026-06-03 00:58:23,793,0
2026-06-03 00:58:23,1088,0
2026-06-03 00:58:23,1145,0
2026-06-03 00:58:23,1104,0
2026-06-03 00:58:23,1062,0
2026-06-03 00:58:23,1059,0
2026-06-03 00:58:24,665,0
2026-06-03 00:58:24,550,0
2026-06-03 00:58:24,544,0
2026-06-03 00:58:24,601,0
2026-06-03 00:58:58,585,0
2026-06-03 00:58:58,585,0
2026-06-03 00:58:58,617,0
2026-06-03 00:58:58,640,0
2026-06-03 00:58:58,643,0
2026-06-03 00:58:58,691,0
2026-06-03 00:58:58,739,0
2026-06-03 00:58:58,774,0
2026-06-03 00:58:58,755,0
2026-06-03 00:58:58,915,0
2026-06-03 00:58:58,928,0
2026-06-03 00:58:58,908,0
2026-06-03 00:58:58,928,0
2026-06-03 00:58:58,982,0
2026-06-03 00:58:58,793,0
2026-06-03 00:58:58,5447,1
2026-06-03 00:58:58,5706,1
2026-06-03 00:58:58,5854,1
2026-06-03 00:58:58,5822,1
2026-06-03 00:58:58,5998,1
2026-06-03 00:58:58,1366,0
2026-06-03 00:58:58,1065,0
2026-06-03 00:58:59,867,0
2026-06-03 00:58:59,947,0
2026-06-03 00:58:59,796,0
2026-06-03 00:58:59,742,0
2026-06-03 00:58:59,768,0
2026-06-03 00:58:59,784,0
2026-06-03 00:58:59,1411,0
2026-06-03 00:58:59,4397,1
2026-06-03 00:58:59,9583,1
2026-06-03 00:58:59,11609,1
2026-06-03 00:58:59,13372,1
2026-06-03 00:58:59,14749,1
2026-06-03 00:58:59,12944,1
2026-06-03 00:58:59,7998,1
2026-06-03 00:58:59,5995,1
2026-06-03 00:58:59,4807,1
2026-06-03 00:58:59,2730,1
2026-06-03 00:58:59,1513,0
2026-06-03 00:58:59,1299,0
2026-06-03 00:58:59,1254,0
2026-06-03 00:58:59,620,0
2026-06-03 00:58:59,592,0
2026-06-03 00:58:59,611,0
2026-06-03 00:58:59,560,0
2026-06-03 00:58:59,784,0
2026-06-03 00:58:59,825,0
2026-06-03 00:58:59,832,0
2026-06-03 00:58:59,908,0
2026-06-03 00:58:59,934,0
2026-06-03 00:58:59,710,0
2026-06-03 00:58:59,713,0
2026-06-03 00:58:59,816,0
2026-06-03 00:58:59,764,0
2026-06-03 00:58:59,880,0
2026-06-03 00:58:59,889,0
2026-06-03 00:58:59,892,0
2026-06-03 00:58:59,796,0
2026-06-03 00:58:59,732,0
2026-06-03 00:58:59,588,0
2026-06-03 00:58:59,608,0
2026-06-03 00:58:59,534,0
2026-06-03 00:58:59,502,0
2026-06-03 00:58:59,505,0
2026-06-03 00:58:59,518,0
